brand,details,name,price,product_type,shades
Lion Brand,"100% Acrylic, 3.5oz",Lion Brand Vanna's Choice,4.2415,Yarns,"
                            33 shades"
Plymouth Yarn,"75% Acrylic 25% Wool, 3.5oz",Plymouth Yarn Encore Worsted,6.5000,Yarns,"
                            62 shades"
Cascade Yarns,1.8oz,Cascade 220 Fingering,5.5000,Yarns,"
                            43 shades"
Bernat,3.5oz,Bernat Softee Chunky,3.5900,Yarns,"
                            34 shades"
Berroco,"52% Acrylic 40% Wool 8% Nylon, 3.5oz",Berroco Vintage,8.9900,Yarns,"
                            62 shades"
Cascade Yarns,"100% Merino Wool, 3.5oz",Cascade 128 Superwash,12.9900,Yarns,"
                            34 shades"
Malabrigo,"100% Merino Wool, 3.5oz",Malabrigo Worsted,11.9900,Yarns,"
                            59 shades"
Cascade Yarns,7.1oz,Cascade Big Wheel,9.9900,Yarns,"
                            13 shades"
Lion Brand,"100% Acrylic, 5oz",Lion Brand Hometown USA,5.3910,Yarns,"
                            19 shades"
Cascade Yarns,"100% Cotton, 1.8oz",Cascade Ultra Pima Fine,5.5000,Yarns,"
                            38 shades"
Rico,"100% Cotton, 1.8oz",Rico Creative Cotton Aran,2.9900,Yarns,"
                            34 shades"
Cascade Yarns,"100% Merino Wool, 3.5oz",Cascade 220 Superwash Aran,12.9900,Yarns,"
                            30 shades"
Berroco,"50% Nylon 50% Acrylic, 3.5oz",Berroco Comfort Chunky,7.5000,Yarns,"
                            19 shades"
West Yorkshire Spinners,"75% Wool 25% Nylon, 3.5oz",West Yorkshire Spinners Signature 4 Ply,12.9900,Yarns,"
                            43 shades"
Berroco,"50% Nylon 50% Acrylic, 3.5oz",Berroco Comfort,7.5000,Yarns,"
                            42 shades"
Stylecraft,"75% Acrylic 25% Wool, 3.5oz",Stylecraft Life DK,4.7500,Yarns,"
                            33 shades"
Lion Brand,"98% Acrylic 2% Polyester, 6oz",Lion Brand Homespun,7.1155,Yarns,"
                            25 shades"
Berroco,"52% Acrylic 40% Wool 8% Nylon, 3.5oz",Berroco Vintage Chunky,9.0000,Yarns,"
                            35 shades"
Cascade Yarns,"100% Wool, 8.8oz",Cascade Magnum,26.2500,Yarns,"
                            19 shades"
Sirdar Snuggly,1.8oz,Sirdar Snuggly Baby Bamboo DK,6.9500,Yarns,"
                            12 shades"
Sirdar Snuggly,"55% Nylon 45% Acrylic, 1.8oz",Sirdar Snuggly Baby Crofter DK,5.5000,Yarns,"
                            9 shades"
Cascade Yarns,"55% Nylon 45% Acrylic, 3.5oz",Cascade Cherub Aran,5.9900,Yarns,"
                            22 shades"
Universal Yarn,3.5oz,Universal Yarn Deluxe Worsted,8.2500,Yarns,"
                            46 shades"
Berroco,"52% Acrylic 40% Wool 8% Nylon, 3.5oz",Berroco Vintage DK,9.0000,Yarns,"
                            25 shades"
James C. Brett,3.5oz,James C. Brett Chunky with Merino,7.4900,Yarns,"
                            9 shades"
Cascade Yarns,1.8oz,Cascade 220 Sport,5.5000,Yarns,"
                            15 shades"
Cascade Yarns,"55% Nylon 45% Acrylic, 1.8oz",Cascade Cherub DK,3.5000,Yarns,"
                            11 shades"
Bernat,3.5oz,Bernat Satin,4.4900,Yarns,"
                            9 shades"
Cascade Yarns,"100% Wool, 0.01oz",Cascade Eco+,27.5000,Yarns,"
                            9 shades"
King Cole,"100% Acrylic, 3.5oz",King Cole Pricewise DK,3.2900,Yarns,"
                            20 shades"
King Cole,3.5oz,King Cole Big Value Chunky,4.5000,Yarns,"
                            15 shades"
Malabrigo,"100% Merino Wool, 1.8oz",Malabrigo Lace,11.0000,Yarns,"
                            24 shades"
Universal Yarn,3.5oz,Universal Yarn Bamboo Pop,9.5000,Yarns,"
                            32 shades"
Cascade Yarns,3.5oz,Cascade Pacific,7.9900,Yarns,"
                            18 shades"
Blue Sky Fibers,"100% Cotton, 3.5oz",Blue Sky Fibers Worsted Cotton,15.9900,Yarns,"
                            25 shades"
King Cole,3.5oz,King Cole Riot DK,6.4900,Yarns,"
                            20 shades"
Rico,"100% Cotton, 1.8oz",Rico Essentials Cotton DK,3.9900,Yarns,"
                            42 shades"
Schachenmayr,"100% Acrylic, 1.8oz",Schachenmayr Baby Smiles Bravo Baby,2.9500,Yarns,"
                            18 shades"
Lana Grossa,"70% Mohair 30% Silk, 0.9oz",Lana Grossa Silkhair,14.9900,Yarns,"
                            40 shades"
Plymouth Yarn,"100% Alpaca, 3.5oz",Plymouth Yarn Baby Alpaca Grande,20.0000,Yarns,"
                            17 shades"
